what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273590758078
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273590758078
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1273590758125
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1273590758125
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1273590758125
stopped,bundle,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin,1273590758125
stopped,bundle,com.altera.sbtgui.gprof,9.1.0.222,com.altera.sbtgui.gprof,1273590758140
stopped,bundle,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui,1273590758140
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1273590758140
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ui,1273590758140
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1273590758140
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1273590758140
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1273590758140
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.help.ui,1273590758187
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.bugs,1273590758187
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1273590758187
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1273590758187
